STATION,LATITUDE,LONGITUDE
47634599999,34.858414,136.805408
02847099999,66.5,25.7166666
47425099999,42.7752,141.692283
15297099999,45.4333333,23.6333333
94710099999,-31.5333333,145.8
07590099999,44.81,6.195333
43041099999,19.0833333,82.0333333
95121099999,-12.6,131.3
74775013846,30.06667,-85.58333
99999900439,31.989,-83.774
85247099999,-17.8333333,-60.75
72514454723,40.43333,-76.56667
42623099999,24.75995,93.896697
86713099999,-15.2166666,-48.9833333
86947099999,-26.0833333,-48.65
67067099999,-17.6333333,48.5
72212404998,40.14917,-97.58667
06751099999,46.45,8.5166666
60419099999,36.276028,6.620386
44230099999,49.5666666,102.0
28573099999,56.1,69.4333333
31527099999,50.1166666,129.4666666
94342099999,-22.3666666,143.0833333
08231099999,40.0666666,-2.1333333
74782053860,30.33708,-81.51277
72547804920,42.43639,-93.86861
86812099999,-20.4166666,-52.8833333
86720099999,-15.0833333,-44.0166666
95671099999,-34.5166666,138.6833333
72200754828,43.45889,-83.44556
72543454789,41.13684,-75.3771
99770499999,67.57,-164.65
12915099999,46.8666666,16.8
86993099999,-31.4058333,-52.7011111
96033099999,3.8,98.7
76698099999,19.5666667,-88.05
01105099999,68.3666666,15.95
11149099999,47.25,13.5666666
47031199999,19.934856,110.458961
26515099999,55.9666666,22.25
68002099999,-22.612239,17.080442
72031612984,27.77861,-97.69056
72064700229,31.106,-98.196
13615099999,41.414742,19.720561
47114099999,37.438081,127.960383
61721099999,13.5333333,-14.7666666
54377099999,41.15,126.2166666
27906099999,52.9333333,36.0
72207853938,34.47083,-97.95083
99769199999,36.93,-76.02
72241012917,29.95205,-94.02616
72310613744,34.18773,-79.73079
41252099999,23.2333333,56.4333333
68754099999,-32.5166666,27.4666666
60437099999,36.2833333,2.7333333
86221099999,-25.6333333,-57.1333333
12575099999,50.0333333,20.9833333
80450099999,7.882764,-67.443883
72225353992,32.75611,-91.88056
26966099999,52.9,30.0333333
72547294989,41.99045,-93.61852
56748099999,25.1166666,99.1833333
48101099999,16.2666666,95.6666666
71898099999,54.2833333,-130.45
40798099999,32.297222,50.842222
85116099999,-13.75,-65.4333333
95675099999,-34.7333333,138.4666666
28116099999,58.9833333,54.65
26518099999,55.6166666,22.2333333
93546099999,-41.3,173.2
17116099999,40.1833333,29.0666667
35235099999,50.7166666,58.6666666
06380099999,50.911658,5.770144
01025099999,69.683333,18.918919
72043600142,37.45,-94.733
58314099999,31.4,116.3333333
61687099999,13.736817,-13.653122
54292099999,42.8833333,129.5
99847699999,37.811,-122.333
48565099999,8.1132,98.316872
52955099999,35.5833333,100.75
22695099999,63.45,48.9
40780899999,26.751111,55.897778
72556594951,41.448,-97.34264
72349513987,37.15222,-94.49524
72043499999,39.109944,-100.816444
86661099999,-13.7166666,-59.7666666
72205312841,28.54653,-81.33544
42296099999,27.0666666,88.4666666
72428693824,39.94609,-81.89315
06141099999,54.8333333,11.3333333
26446099999,56.5333333,27.2666666
94201099999,-16.45,123.0
72648094853,45.73333,-87.08333
72538794899,47.467386,-87.875032
72659304946,43.65,-94.98639
87217099999,-29.381636,-66.795839
56462099999,29.0,101.5
61901099999,-15.9333333,-5.6666666
11362099999,47.4166666,14.7666666
99820499999,46.9166666,-124.1166666
72433693810,37.78329,-89.24533
72511954792,41.04647,-78.4112
08232099999,40.85,-1.8833333
02880099999,65.85,24.1666666
72104500354,39.332,-94.31
84474099999,-7.1691,-76.728561
78741099999,12.141494,-86.168178
01016099999,78.9333333,28.9
42562099999,24.7666666,78.8333333
99717799999,59.923,-141.359
99404299999,18.33,-64.92
33815099999,47.0166666,28.9833333
48325099999,18.1666666,97.9333333
67581099999,-13.55,32.5833333
51818099999,37.6166666,78.2833333
42876099999,21.1833333,81.2833333
71092099999,68.65,-71.17
92022099999,-2.7,141.3166666
71108099999,49.025278,-122.363333
68038099999,-20.553361,26.115778
96751099999,-6.7,106.9333333
70265026407,64.68333,-147.08333
85123099999,-13.762208,-65.435158
01485099999,59.6166666,10.2166666
11053099999,48.2166666,13.4833333
02611099999,56.0333333,12.7666666
64452099999,-2.6166667,16.2166667
03710099999,51.0833333,-3.6
35108099999,51.150833,51.543056
23992099999,60.7166666,97.5166666
52996099999,35.3833333,105.0
67863099999,-19.0,28.9
12805099999,47.6833333,16.6
42809099999,22.654739,88.446722
29059099999,59.4333333,89.2833333
71738099999,47.966667,-84.786667
71030099999,44.7,-66.8
99842999999,52.941,-168.871
15247099999,45.809861,21.337861
