SIZE,row
100.0, 0.02091029803710271
206.913808111479 ,  7.604026098293681
428.13323987193957  , 15.29138206933589
885.8667904100823  , 39.2186418149437
1832.9807108324355,   113.25008126714214
3792.69019073225  , 194.61383875443443
7847.5997035146065 ,  293.5149824467414
16237.76739188721 ,  407.9345842655004
33598.18286283781   ,545.2757589206631
69519.27961775605 ,  601.9702751543001
143844.9888287663 ,  631.3771893155091
297635.1441631313 ,  645.5272533465958
615848.2110660254 ,  633.8000495560547
1274274.985703132 ,  634.4719539049103
2636650.8987303553 ,  641.9892863899679
5455594.781168514  , 636.5572041109087
11288378.916846883 ,  597.1286840733392
23357214.690901212 ,  596.5483063643265
48329302.38571752  , 496.3939183936878
100000000.0   ,501.45181349872627
